date,index
2020-08-19,47.0
2020-08-20,43.0
2020-08-21,46.0
2020-08-22,55.0
2020-08-23,0.0
2020-08-24,66.0
2020-08-25,51.0
2020-08-26,51.0
2020-08-27,49.0
2020-08-28,0.0
2020-08-29,53.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,100.0
2020-09-02,0.0
2020-09-03,56.0
2020-09-04,0.0
2020-09-05,77.0
2020-09-06,0.0
2020-09-07,63.0
2020-09-08,64.0
2020-09-09,54.0
2020-09-10,0.0
2020-09-11,66.0
2020-09-12,72.0
2020-09-13,81.0
2020-09-14,0.0
2020-09-15,88.0
2020-09-16,53.0
2020-09-17,78.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,49.0
2020-09-24,69.0
2020-09-25,90.0
2020-09-26,0.0
2020-09-27,76.0
2020-09-28,0.0
2020-09-29,60.0
2020-09-30,0.0
2020-10-01,56.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,52.0
2020-10-06,68.0
2020-10-07,50.0
2020-10-08,56.0
2020-10-09,95.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,77.0
2020-10-13,82.0
2020-10-14,57.0
2020-10-15,60.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,80.0
2020-10-19,58.0
2020-10-20,53.0
2020-10-21,94.0
2020-10-22,76.0
2020-10-23,74.0
2020-10-24,88.0
2020-10-25,0.0
2020-10-26,84.0
2020-10-27,84.0
2020-10-28,67.0
2020-10-29,100.0
2020-10-30,79.0
2020-10-31,0.0
2020-11-01,74.0
2020-11-02,89.0
2020-11-03,56.0
2020-11-04,75.0
2020-11-05,0.0
2020-11-06,71.0
2020-11-07,0.0
2020-11-08,87.0
2020-11-09,63.0
2020-11-10,55.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,100.0
2020-11-14,0.0
2020-11-15,63.0
2020-11-16,0.0
2020-11-17,95.0
2020-11-18,100.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,91.0
2020-11-22,84.0
2020-11-23,59.0
2020-11-24,68.0
2020-11-25,100.0
2020-11-26,92.0
2020-11-27,72.0
2020-11-28,0.0
2020-11-29,100.0
2020-11-30,72.0
2020-12-01,55.0
2020-12-02,65.0
2020-12-03,55.0
2020-12-04,78.0
2020-12-05,71.0
2020-12-06,81.0
2020-12-07,59.0
2020-12-08,78.0
2020-12-09,65.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,55.0
2020-12-13,82.0
2020-12-14,0.0
2020-12-15,61.0
2020-12-16,89.0
2020-12-17,62.0
2020-12-18,52.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,67.0
2020-12-23,0.0
2020-12-24,93.0
2020-12-25,0.0
2020-12-26,66.0
2020-12-27,100.0
2020-12-28,70.0
2020-12-29,100.0
2020-12-30,64.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,74.0
2021-01-03,0.0
2021-01-04,52.0
2021-01-05,55.0
2021-01-06,55.0
2021-01-07,56.0
2021-01-08,50.0
2021-01-09,74.0
2021-01-10,96.0
2021-01-11,61.0
2021-01-12,60.0
2021-01-13,55.0
2021-01-14,0.0
2021-01-15,40.0
2021-01-16,58.0
2021-01-17,66.0
2021-01-18,59.0
2021-01-19,62.0
2021-01-20,80.0
2021-01-21,63.0
2021-01-22,72.0
2021-01-23,40.0
2021-01-24,0.0
2021-01-25,38.0
2021-01-26,60.0
2021-01-27,52.0
2021-01-28,55.0
2021-01-29,72.0
2021-01-30,62.0
2021-01-31,52.0
2021-02-01,40.0
2021-02-02,62.0
2021-02-03,53.0
2021-02-04,56.0
2021-02-05,44.0
2021-02-06,42.0
2021-02-07,86.0
2021-02-08,37.0
2021-02-09,50.0
2021-02-10,59.0
2021-02-11,64.0
2021-02-12,88.0
2021-02-13,55.0
2021-02-14,52.0
2021-02-15,0.0
2021-02-16,64.0
2021-02-17,56.0
2021-02-18,61.0
2021-02-19,46.0
2021-02-20,79.0
2021-02-21,60.0
2021-02-22,67.0
2021-02-23,0.0
2021-02-24,66.0
2021-02-25,83.0
2021-02-26,73.0
2021-02-27,0.0
2021-02-28,76.0
2021-03-01,77.0
2021-03-02,76.0
2021-03-03,48.0
2021-03-04,90.0
2021-03-05,0.0
2021-03-06,90.0
2021-03-07,86.0
2021-03-08,67.0
2021-03-09,71.0
2021-03-10,76.0
2021-03-11,74.0
2021-03-12,86.0
2021-03-13,100.0
2021-03-14,68.0
2021-03-15,73.0
2021-03-16,66.0
