date,index
2020-06-30,34.0
2020-07-01,34.0
2020-07-02,65.0
2020-07-03,39.0
2020-07-04,49.0
2020-07-05,0.0
2020-07-06,100.0
2020-07-07,62.0
2020-07-08,56.0
2020-07-09,74.0
2020-07-10,0.0
2020-07-11,64.0
2020-07-12,46.0
2020-07-13,50.0
2020-07-14,55.0
2020-07-15,53.0
2020-07-16,46.0
2020-07-17,0.0
2020-07-18,42.0
2020-07-19,0.0
2020-07-20,42.0
2020-07-21,46.0
2020-07-22,48.0
2020-07-23,42.0
2020-07-24,0.0
2020-07-25,50.0
2020-07-26,0.0
2020-07-27,44.0
2020-07-28,62.0
2020-07-29,47.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,43.0
2020-08-03,43.0
2020-08-04,48.0
2020-08-05,58.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,63.0
2020-08-09,0.0
2020-08-10,63.0
2020-08-11,0.0
2020-08-12,63.0
2020-08-13,79.0
2020-08-14,0.0
2020-08-15,65.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,100.0
2020-08-19,0.0
2020-08-20,68.0
2020-08-21,0.0
2020-08-22,72.0
2020-08-23,0.0
2020-08-24,87.0
2020-08-25,76.0
2020-08-26,0.0
2020-08-27,76.0
2020-08-28,60.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,90.0
2020-09-01,60.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,97.0
2020-09-05,0.0
2020-09-06,64.0
2020-09-07,0.0
2020-09-08,78.0
2020-09-09,0.0
2020-09-10,66.0
2020-09-11,53.0
2020-09-12,0.0
2020-09-13,69.0
2020-09-14,88.0
2020-09-15,76.0
2020-09-16,100.0
2020-09-17,94.0
2020-09-18,82.0
2020-09-19,100.0
2020-09-20,100.0
2020-09-21,100.0
2020-09-22,77.0
2020-09-23,45.0
2020-09-24,50.0
2020-09-25,0.0
2020-09-26,67.0
2020-09-27,51.0
2020-09-28,80.0
2020-09-29,91.0
2020-09-30,100.0
2020-10-01,100.0
2020-10-02,30.0
2020-10-03,21.0
2020-10-04,16.0
2020-10-05,12.0
2020-10-06,16.0
2020-10-07,27.0
2020-10-08,20.0
2020-10-09,28.0
2020-10-10,14.0
2020-10-11,0.0
2020-10-12,19.0
2020-10-13,11.0
2020-10-14,0.0
2020-10-15,21.0
2020-10-16,27.0
2020-10-17,14.0
2020-10-18,0.0
2020-10-19,12.0
2020-10-20,14.0
2020-10-21,0.0
2020-10-22,19.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,18.0
2020-10-27,12.0
2020-10-28,12.0
2020-10-29,12.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,65.0
2020-11-04,0.0
2020-11-05,46.0
2020-11-06,98.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,46.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,55.0
2020-11-20,64.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,94.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,76.0
2020-11-28,66.0
2020-11-29,0.0
2020-11-30,64.0
2020-12-01,0.0
2020-12-02,77.0
2020-12-03,62.0
2020-12-04,83.0
2020-12-05,0.0
2020-12-06,84.0
2020-12-07,61.0
2020-12-08,97.0
2020-12-09,62.0
2020-12-10,84.0
2020-12-11,87.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,61.0
2020-12-16,90.0
2020-12-17,81.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,68.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,89.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,94.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,75.0
2021-01-19,0.0
2021-01-20,63.0
2021-01-21,0.0
2021-01-22,100.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,53.0
2021-01-27,0.0
2021-01-28,88.0
2021-01-29,75.0
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,86.0
2021-02-04,0.0
2021-02-05,100.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,62.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,78.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,84.0
2021-02-28,0.0
2021-03-01,72.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,100.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,84.0
